27,247,123,1
289,-5,481,0
92,311,315,1
962,309,839,1
53,557,246,1
379,89,316,1
1000,124,-13,0
111,1096,335,0
911,195,877,1
427,685,575,1
190,79,556,1
925,745,1117,0
119,1094,286,0
623,177,13,1
582,897,895,1
819,558,866,1
376,1113,483,0
317,924,441,1
703,597,449,1
592,953,482,1
5,980,1136,0
668,374,612,1
385,418,112,1
1089,187,154,0
858,654,297,1
424,345,314,1
439,522,941,1
1146,91,1084,0
588,494,1073,0
350,480,17,1
58,644,752,1
826,744,375,1
626,832,137,1
1092,936,24,0
598,334,942,1
832,1065,619,0
706,920,205,1
620,788,383,1
401,402,356,1
56,726,827,1
316,1058,469,0
1089,574,852,0
1088,889,281,0
333,75,150,1
284,856,839,1
518,962,300,1
1084,105,633,0
826,221,618,1
717,261,23,1
607,1051,654,0
244,57,80,1
706,784,922,1
388,1105,1011,0
783,415,874,1
137,194,626,1
185,324,904,1
93,-1,256,0
1089,896,793,0
122,839,207,1
1110,595,322,0
607,306,136,1
658,492,148,1
988,968,-2,0
1044,556,56,0
34,959,700,1
140,51,1128,0
848,925,278,1
235,70,1051,0
12,924,713,1
406,305,865,1
570,800,602,1
12,93,162,1
886,289,715,1
871,414,243,1
1101,72,644,0
824,467,574,1
449,109,694,1
1075,1085,878,0
1087,837,923,0
41,842,693,1
914,750,40,1
737,319,149,1
767,1014,108,0
101,285,690,1
162,1113,184,0
636,646,935,1
6,1077,820,0
199,412,436,1
352,222,500,1
708,736,800,1
767,1094,845,0
717,1143,413,0
693,911,788,1
1075,34,1070,0
945,848,102,1
533,149,612,1
634,607,737,1
297,28,816,1
889,476,1056,0
-1,539,756,0
